的 de,di1,di2,di4
贴 tie1
柔 rou2
滴 di1
猛 meng3
阔 kuo4
辆 liang4
妻 qi1,qi4
填 tian2,tian3,chen2,zhen4
撤 che4
储 chu3
签 qian1
闹 nao4
扰 rao3,you4
紫 zi3
砂 sha1
递 di4
戏 xi4,hu1
吊 diao4
陶 tao2,yao2,dao4
伐 fa2
喂 wei4
疗 liao2
瓶 ping2
婆 po2
抚 fu3
臂 bi4,bei
摸 mo1,mo2
忍 ren3,ren4
虾 xia1,ha2
蜡 la4,qu4,zha4,ji2
邻 lin2
胸 xiong1
巩 gong3
挤 ji3
偶 ou3
弃 qi4
槽 cao2,zao1
劲 jin4,jing4
乳 ru3
邓 deng4,shan1
吉 ji2
仁 ren2
烂 lan4
砖 zhuan1
租 zu1,ju1
乌 wu1,wu4
舰 jian4
伴 ban4,pan4
瓜 gua1
浅 qian3,jian1
丙 bing3,bing4
暂 zan4
燥 zao4,sao4
橡 xiang4
柳 liu3
迷 mi2,mi4
暖 nuan3,xuan1
牌 pai2
秧 yang1
胆 dan3,tan2,tan3,da2
详 xiang2
簧 huang2
踏 ta4,ta1
瓷 ci2
谱 pu3
呆 dai1,bao3,ai2
宾 bin1
糊 hu2,hu1,hu4
洛 luo4
辉 hui1
愤 fen4
竞 jing4
隙 xi4
怒 nu4
粘 zhan1,nian2
乃 nai3,ai3
绪 xu4
肩 jian1,xian2
籍 ji2,jie4
敏 min3
涂 tu2,chu2,ye2
熙 xi1,yi2
皆 jie1
侦 zhen1
悬 xuan2
掘 jue2,ku1
享 xiang3
纠 jiu1
醒 xing3,cheng2,jing1
狂 kuang2,jue2
锁 suo3
淀 dian4
恨 hen4
牲 sheng1
霸 ba4,po4
爬 pa2
赏 shang3
逆 ni4
玩 wan2
陵 ling2
祝 zhu4,zhou4,chu4
秒 miao3
浙 zhe4
貌 mao4,mo4
役 yi4
彼 bi3
悉 xi1
鸭 ya1
趋 qu1
凤 feng4
晨 chen2
畜 chu4,xu4
辈 bei4
秩 zhi4
卵 luan3,kun1
署 shu3
梯 ti1,ti2
炎 yan2,yan4,tan2
滩 tan1
棋 qi2,ji1
驱 qu1
筛 shai1
峡 xia2
冒 mao4,mo4
啥 sha2,sha4
寿 shou4
译 yi4
浸 jin4,qin1
泉 quan2
帽 mao4
迟 chi2
硅 gui1,he4
疆 jiang1,jiang4
贷 dai4
漏 lou4,lou2
稿 gao3
冠 guan1,guan4
嫩 nen4
胁 xie2
芯 xin1,xin4
牢 lao2,lao4,lou2
叛 pan4
蚀 shi2
奥 ao4,yu4,you1
鸣 ming2
岭 ling3,ling2
羊 yang2
凭 ping2
串 chuan4,guan4,quan4
塘 tang2
绘 hui4
酵 jiao4
融 rong2
盆 pen2
锡 xi1
庙 miao4
筹 chou2
冻 dong4
辅 fu3
摄 she4
袭 xi2
筋 jin1,qian2
拒 ju4,ju3
僚 liao2,liao3,lao3
旱 han4
钾 jia3
鸟 niao3,diao3
漆 qi1,qie4
沈 shen3,chen2,tan2
眉 mei2
疏 shu1
添 tian1,tian4
棒 bang4
穗 sui4
硝 xiao1,qiao4
韩 han2
逼 bi1
扭 niu3,chou3,zhou3,zhou4
侨 qiao2
凉 liang2,liang4
挺 ting3,ting2
碗 wan3
栽 zai1,zai4
炒 chao3
杯 bei1
患 huan4
馏 liu2,liu4
劝 quan4
豪 hao2
辽 liao2
勃 bo2
鸿 hong2
旦 dan4
吏 li4
拜 bai4,bai2
狗 gou3
埋 mai2,man2
辊 gun3
掩 yan3,yan4
饮 yin3,yin4
搬 ban1,su4
骂 ma4
辞 ci2
勾 gou1,gou4
扣 kou4
估 gu1,gu4
蒋 jiang3
绒 rong2
雾 wu4
丈 zhang4
朵 duo3
姆 mu3
拟 ni3
宇 yu3
辑 ji2
陕 shan3
雕 diao1
偿 chang2
蓄 xu4
崇 chong2
剪 jian3
倡 chang4,chang1
厅 ting1
咬 yao3,jiao1,yao1,jiao3
驶 shi3
薯 shu3
刷 shua1,shua4
斥 chi4,che4,zhe4
番 fan1,pan1,fan2,bo1,po2,pan2,pan4,pi2
赋 fu4
奉 feng4
佛 fu2,fo2,bo2,bi4
浇 jiao1
漫 man4
曼 man4
扇 shan4,shan1
钙 gai4
桃 tao2,tiao1,zhao4
扶 fu2,pu2
仔 zai3,zi3,zi1
返 fan3
俗 su2
亏 kui1,yu2
腔 qiang1,kong4
鞋 xie2,wa1
棱 leng2,leng1,ling2,leng4,cheng1
覆 fu4
框 kuang1,kuang4,kuang2
悄 qiao1,qiao3,qiao4
叔 shu1
撞 zhuang4
骗 pian4
勘 kan1
旺 wang4
沸 fei4,fu2
孤 gu1
吐 tu3,tu4
孟 meng4
渠 qu2,ju4
屈 qu1,jue2,que4,ju2
疾 ji2
妙 miao4,miao3
惜 xi1
仰 yang3,ang2
狠 hen3,yan2,ken3,hang3
胀 zhang4
谐 xie2
抛 pao1
霉 mei2
桑 sang1
岗 gang3,gang1
嘛 ma,ma2
衰 shuai1,suo1,cui1
盗 dao4
渗 shen4
脏 zang4,zang1
赖 lai4
涌 yong3,chong1
甜 tian2
曹 cao2
阅 yue4
肌 ji1,ji4
哩 li1,li,li4,li3,mai2,ying1
厉 li4
烃 ting1
纬 wei3
毅 yi4
昨 zuo2
伪 wei3
症 zheng4,zheng1
煮 zhu3
叹 tan4,yi3,you4
钉 ding1,ding4
搭 da1,ta4
茎 jing1
笼 long2,long3
酷 ku4
偷 tou1
弓 gong1
锥 zhui1
恒 heng2
杰 jie2
坑 keng1,kang4
鼻 bi2
翼 yi4
纶 lun2,guan1
叙 xu4
狱 yu4
逮 dai3,dai4,di4
罐 guan4
络 luo4,lao4
棚 peng2
抑 yi4
膨 peng2,peng4
蔬 shu1,shu3
寺 si4,shi4
骤 zhou4
穆 mu4
冶 ye3
枯 ku1,gu1
册 ce4,zha4
尸 shi1
凸 tu1
绅 shen1
坯 pi1,huai4
牺 xi1
焰 yan4
轰 hong1
欣 xin1
晋 jin4
瘦 shou4
御 yu4,ya4
锭 ding4
锦 jin3
丧 sang4,sang1
旬 xun2,jun1
锻 duan4
垄 long3
搜 sou1,xiao1,sou4,shao3
扑 pu1,pi4
邀 yao1
亭 ting2
酯 zhi3
迈 mai4
舒 shu1,yu4
脆 cui4
酶 mei2
闲 xian2
忧 you1,you4
酚 fen1
顽 wan2
羽 yu3,hu4
涨 zhang3,zhang4
卸 xie4
仗 zhang4
陪 pei2
辟 pi4,bi4,mi3,pi1
惩 cheng2
杭 hang2,kang4,kang1
姚 yao2,tiao4,tao2,yao4
肚 du4,du3
捉 zhuo1
飘 piao1
漂 piao1,piao4,piao3,biao1
昆 kun1,hun2,kun4
欺 qi1
吾 wu2,yu2,ya2
郎 lang2,lang4
烷 wan2
汁 zhi1,xie2,shi2
呵 he1,ha1,a1,a,ke1,huo1,a2,a3,a4
饰 shi4
萧 xiao1
雅 ya3,ya1,ya2
邮 you2
迁 qian1
燕 yan4,yan1
撒 sa1,sa3
姻 yin1
赴 fu4
宴 yan4
烦 fan2
债 zhai4
帐 zhang4
斑 ban1
铃 ling2
旨 zhi3
醇 chun2
董 dong3,zhong3
饼 bing3
雏 chu2
姿 zi1,zi4
拌 ban4,pan1
傅 fu4,fu1
腹 fu4
妥 tuo3
揉 rou2
贤 xian2
拆 chai1,che4,chi4,ca1
歪 wai1,wai3
葡 pu2,bei4
胺 an4,e4
丢 diu1
浩 hao4,gao3,ge2
徽 hui1
昂 ang2,yang4
垫 dian4
挡 dang3,dang4
览 lan3
贪 tan1
慰 wei4
缴 jiao3,zhuo2
汪 wang1,wang3,hong2
慌 huang1,huang3,huang
冯 feng2,ping2
诺 nuo4
姜 jiang1
谊 yi4
凶 xiong1
劣 lie4
诬 wu1
耀 yao4
昏 hun1,hun4
躺 tang3,tang4
盈 ying2
骑 qi2
乔 qiao2
溪 xi1,qi1
丛 cong2
卢 lu2
抹 mo3,ma1,mo4
闷 men4,men1
咨 zi1
刮 gua1
驾 jia4
缆 lan3
悟 wu4
摘 zhai1
铒 er3
掷 zhi4,zhi1
颇 po3,po1
幻 huan4
柄 bing3
惠 hui4
惨 can3
佳 jia1
仇 chou2,qiu2,ju1
腊 la4,xi1
窝 wo1
涤 di2
剑 jian4
瞧 qiao2
堡 bao3,bu3,pu4
泼 po1
葱 cong1,chuang1
罩 zhao4
霍 huo4,he4,suo3
捞 lao1
胎 tai1
苍 cang1
滨 bin1
俩 lia3,liang3
捅 tong3
湘 xiang1
砍 kan3
霞 xia2
邵 shao4
萄 tao2
疯 feng1
淮 huai2
遂 sui4,sui2
熊 xiong2
粪 fen4
烘 hong1
宿 su4,xiu3,xiu4,qi1
档 dang4
戈 ge1
驳 bo2
嫂 sao3
裕 yu4
徙 xi3,si1
箭 jian4
捐 juan1,yuan2
肠 chang2
撑 cheng1
晒 shai4
辨 bian4,bian3,ban4,pian4
殿 dian4
莲 lian2
摊 tan1
搅 jiao3
酱 jiang4
屏 ping2,bing3,bing4,bing1
疫 yi4
哀 ai1
蔡 cai4,sa4,ca1
堵 du3,zhe3,du1
沫 mo4
皱 zhou4
畅 chang4
叠 die2
阁 ge2
莱 lai2
敲 qiao1
辖 xia2
钩 gou1
痕 hen2,gen4
坝 ba4
巷 xiang4,hang4
饿 e4
祸 huo4
丘 qiu1
玄 xuan2,xuan4
溜 liu1,liu4,liu2
曰 yue1
逻 luo2
彭 peng2,pang2,bang1,peng1
尝 chang2
卿 qing1
妨 fang2,fang1
艇 ting3
吞 tun1,tian1
韦 wei2
怨 yuan4,yun4
矮 ai3
歇 xie1,ya4
